P52597	P52597
P06132	P06132
P0AFD1	P0AFD1
P52695	P52695
Q06406	Q06406
P61964	P61964
P54274	P54274
P27782	P27782
Q9Y6H6	Q9Y6H6
P01215	P01215
O75506	O75506
P0DP23	P0DP23
Q6P3W2	Q6P3W2
P03126	P03126
P11940	P11940
Q7Z589	Q7Z589
P84022	P84022
Q9UIV1	Q9UIV1
P51946	P51946
Q6B0I6	Q6B0I6
P08238	P08238
G5ED39	G5ED39
O35254	O35254
Q9ZKK2	Q9ZKK2
P84051	P84051
Q97ZL0	Q97ZL0
P0C0Y1	P0C0Y1
Q63450	Q63450
O14352	O14352
P47273	P47273
Q9UI95	Q9UI95
Q9Y3E7	Q9Y3E7
P59113	P59113
O75164	O75164
Q15910	Q15910
Q6P5F9	Q6P5F9
Q42521	Q42521
O14744	O14744
P0ABS5	P0ABS5
Q921Z5	Q921Z5
Q9BXW4	Q9BXW4
Q9DBG9	Q9DBG9
Q6WNK7	Q6WNK7
Q8HYY9	Q8HYY9
P55957	P55957
P50613	P50613
Q7B2Z6	Q7B2Z6
P0C6X7	P0C6X7
Q9ULV8	Q9ULV8
Q8N2Z9	Q8N2Z9
Q00169	Q00169
Q96J02	Q96J02
Q8BTI9	Q8BTI9
Q43125	Q43125
P43246	P43246
Q8NCD3	Q8NCD3
P28698	P28698
Q9UKK9	Q9UKK9
O75223	O75223
P68005	P68005
Q9UUB7	Q9UUB7
Q00613	Q00613
Q8TDP1	Q8TDP1
O77448	O77448
P43250	P43250
P62696	P62696
P63241	P63241
Q9UJX6	Q9UJX6
P0AFC3	P0AFC3
P63098	P63098
P55735	P55735
Q14974	Q14974
Q14194	Q14194
Q16831	Q16831
Q24570	Q24570
P63086	P63086
Q8N6T7	Q8N6T7
Q96E14	Q96E14
Q13616	Q13616
P9WNK3	P9WNK3
O28362	O28362
Q12373	Q12373
P24522	P24522
P05221	P05221
P04912	P04912
O70200	O70200
P53853	P53853
P17612	P17612
P07749	P07749
I7MK25	I7MK25
Q84MC7	Q84MC7
Q20363	Q20363
P12520	P12520
P11632	P11632
P62304	P62304
O35625	O35625
Q71UI9	Q71UI9
P04183	P04183
P04911	P04911
Q9KX51	Q9KX51
P05132	P05132
P59594	P59594
Q9Y6I3	Q9Y6I3
Q4V8K1	Q4V8K1
P0ABJ3	P0ABJ3
P01096	P01096
Q9RY65	Q9RY65
Q9JLC3	Q9JLC3
P24941	P24941
P46065	P46065
P0C0S5	P0C0S5
P28023	P28023
Q8BH64	Q8BH64
P00517	P00517
P11926	P11926
Q15717	Q15717
P61587	P61587
P05434	P05434
P61956	P61956
P0C8E0	P0C8E0
P0C8E1	P0C8E1
P12296	P12296
Q96RJ3	Q96RJ3
A1B602	A1B602
Q05919	Q05919
G5EFZ1	G5EFZ1
P02549	P02549
P13797	P13797
P45352	P45352
P55212	P55212
Q71FK2	Q71FK2
Q8WUN7	Q8WUN7
Q58MU6	Q58MU6
Q9BRT9	Q9BRT9
P0ACX9	P0ACX9
P61012	P61012
P22531	P22531
P40344	P40344
Q06609	Q06609
Q9XWG3	Q9XWG3
Q9Y3B4	Q9Y3B4
P06897	P06897
P77072	P77072
P49023	P49023
O75909	O75909
Q6DD88	Q6DD88
P54687	P54687
Q9NWT6	Q9NWT6
Q9KRE7	Q9KRE7
P02668	P02668
P38919	P38919
P02259	P02259
Q04724	Q04724
Q16186	Q16186
O00299	O00299
Q9BUL9	Q9BUL9
P43487	P43487
O00410	O00410
P03087	P03087
Q02790	Q02790
P12823	P12823
P14335	P14335
Q12483	Q12483
P0AFD6	P0AFD6
A0A220GHA5	A0A220GHA5
P0A8Q6	P0A8Q6
P63165	P63165
Q88MI5	Q88MI5
A0A0H3CFC9	A0A0H3CFC9
P07305	P07305
E6PBU3	E6PBU3
O95843	O95843
P30281	P30281
Q01853	Q01853
Q9UKV8	Q9UKV8
P46662	P46662
P43351	P43351
P27361	P27361
Q02363	Q02363
P09415	P09415
Q12306	Q12306
P0A6R3	P0A6R3
P22362	P22362
P78794	P78794
P55197	P55197
Q9GZN7	Q9GZN7
P55980	P55980
Q08209	Q08209
P30328	P30328
Q9FLN8	Q9FLN8
P24385	P24385
P41209	P41209
Q8IVG9	Q8IVG9
P03714	P03714
Q8N300	Q8N300
Q9NV23	Q9NV23
A0A097F4I8	A0A097F4I8
P06935	P06935
P41208	P41208
Q09028	Q09028
Q9UBE0	Q9UBE0
Q16667	Q16667
P24005	P24005
P11021	P11021
Q96H20	Q96H20
P03404	P03404
G0SCY6	G0SCY6
P19803	P19803
P62316	P62316
P04818	P04818
Q26680	Q26680
Q9WV60	Q9WV60
Q9UJX2	Q9UJX2
Q32ZE1	Q32ZE1
A0A024B7W1	A0A024B7W1
A0A142I5B9	A0A142I5B9
P54619	P54619
P0A2N1	P0A2N1
Q9H8S9	Q9H8S9
P0DTC2	P0DTC2
Q62420	Q62420
P9WHJ5	P9WHJ5
P53905	P53905
Q9UJX4	Q9UJX4
P0ABJ1	P0ABJ1
Q16543	Q16543
P31896	P31896
P0A7S3	P0A7S3
Q12287	Q12287
Q5JH72	Q5JH72
Q9Y615	Q9Y615
Q9VAN6	Q9VAN6
Q5ZYC9	Q5ZYC9
P04908	P04908
Q00987	Q00987
Q9UGL1	Q9UGL1
P47813	P47813
P00533	P00533
P38768	P38768
O95197	O95197
Q658P3	Q658P3
O75817	O75817
P41567	P41567
Q06710	Q06710
P62805	P62805
Q9V452	Q9V452
Q09161	Q09161
Q9RFD6	Q9RFD6
Q08826	Q08826
P62799	P62799
O73557	O73557
P25024	P25024
Q2JIZ5	Q2JIZ5
O25010	O25010
Q47184	Q47184
Q99598	Q99598
P46670	P46670
P0AG30	P0AG30
P22173	P22173
Q9I1X7	Q9I1X7
P61965	P61965
O60814	O60814
P08245	P08245
P51671	P51671
P70447	P70447
O74499	O74499
P13338	P13338
Q8IYB3	Q8IYB3
P22216	P22216
Q22942	Q22942
S7W634	S7W634
Q96EQ8	Q96EQ8
P09372	P09372
Q9KJ82	Q9KJ82
P85800	P85800
Q9Q8E9	Q9Q8E9
Q9UBR1	Q9UBR1
P07805	P07805
Q13451	Q13451
P07355	P07355
Q57733	Q57733
P77522	P77522
P78356	P78356
P10565	P10565
P39286	P39286
Q29495	Q29495
Q14318	Q14318
P61073	P61073
P12956	P12956
P35260	P35260
P0C1H4	P0C1H4
Q8ZQC8	Q8ZQC8
Q15637	Q15637
O00488	O00488
Q7Z3C6	Q7Z3C6
P27356	P27356
P9WKX3	P9WKX3
P06730	P06730
P75966	P75966
Q9KMA5	Q9KMA5
P49841	P49841
Q9UBW5	Q9UBW5
P40881	P40881
Q64364	Q64364
P02293	P02293
P52298	P52298
Q16695	Q16695
P06899	P06899
G4NEJ8	G4NEJ8
P61830	P61830
P62877	P62877
G1TDB3	G1TDB3
P02699	P02699
P0DTC3	P0DTC3
Q6CMF0	Q6CMF0
O14974	O14974
Q13619	Q13619
P51965	P51965
Q8NQJ3	Q8NQJ3
P02281	P02281
P19619	P19619
Q9UM11	Q9UM11
P09938	P09938
P30793	P30793
Q9HZJ8	Q9HZJ8
P12810	P12810
P36886	P36886
P0AFC7	P0AFC7
P27695	P27695
Q71DI3	Q71DI3
P32504	P32504
P52564	P52564
G1K3N3	G1K3N3
P62326	P62326
P62328	P62328
Q05323	Q05323
P15927	P15927
P0DTH5	P0DTH5
P84243	P84243
P9WF19	P9WF19
P50477	P50477
Q13164	Q13164
P9WJ35	P9WJ35
P59595	P59595
P53779	P53779
Q5ZUV9	Q5ZUV9
P30822	P30822
O14187	O14187
Q9NVS9	Q9NVS9
Q49ZM2	Q49ZM2
P81455	P81455
O57173	O57173
P49137	P49137
Q9H875	Q9H875
P49799	P49799
P49723	P49723
Q96DE5	Q96DE5
P03129	P03129
Q99P68	Q99P68
P42866	P42866
P0ABI8	P0ABI8
Q9UNA4	Q9UNA4
Q6BBK3	Q6BBK3
O14980	O14980
Q9H0E2	Q9H0E2
P03050	P03050
P02730	P02730
Q8MK44	Q8MK44
P21736	P21736
O14140	O14140
Q8CJ26	Q8CJ26
Q03337	Q03337
P9WJA9	P9WJA9
P49354	P49354
P36161	P36161
P06396	P06396
P0AFG8	P0AFG8
O14558	O14558
O34800	O34800
G8HXD9	G8HXD9
Q13153	Q13153
O75907	O75907
Q29502	Q29502
P08669	P08669
B9UCQ5	B9UCQ5
P22179	P22179
P49450	P49450
O60502	O60502
P15183	P15183
P36595	P36595
O67086	O67086
O94316	O94316
Q9GMF1	Q9GMF1
O66858	O66858
P03520	P03520
P68431	P68431
P84233	P84233
P53999	P53999
O14519	O14519
Q03818	Q03818
Q07930	Q07930
O95391	O95391
Q14722	Q14722
P63144	P63144
Q9NRY2	Q9NRY2
P15340	P15340
P48539	P48539
P08621	P08621
Q06208	Q06208
Q14061	Q14061
Q8XAD5	Q8XAD5
Q9Y3M2	Q9Y3M2
P07948	P07948
P9WHN5	P9WHN5
P46673	P46673
P11157	P11157
P68390	P68390
P73124	P73124
Q9FUM5	Q9FUM5
A0A068MVV3	A0A068MVV3
O95149	O95149
P58004	P58004
P06179	P06179
Q9Z2A7	Q9Z2A7
Q9ERM3	Q9ERM3
P52565	P52565
P45379	P45379
P0ACN7	P0ACN7
Q81EJ6	Q81EJ6
Q76LA1	Q76LA1
Q0GBY3	Q0GBY3
P01094	P01094
P0DTC9	P0DTC9
Q15046	Q15046
Q5V913	Q5V913
P02783	P02783
P02315	P02315
C4LQ26	C4LQ26
P17120	P17120
A1L1Q4	A1L1Q4
E6PBU9	E6PBU9
P20435	P20435
P00127	P00127
D2CPS8	D2CPS8
P04177	P04177
P25963	P25963
Q37883	Q37883
P06812	P06812
P03681	P03681
P06951	P06951
Q06253	Q06253
P0A968	P0A968
Q9UBT6	Q9UBT6
P9WI73	P9WI73
Q13162	Q13162
C6KEI3	C6KEI3
P52293	P52293
Q8IXK0	Q8IXK0
P35926	P35926
P61926	P61926
P61925	P61925
